episode_id,create_time,avg_score,min_score,sum_score,agent_count,size_bytes
89406784,2026-08-01T22:42:57.3146352,1279.157410,1278.457220,2558.314821,2,4929498
89414680,2026-08-01T23:42:57.9578124,1277.424474,1273.883289,2554.848947,2,620264
89414682,2026-08-01T23:42:57.9607521,1277.424474,1276.357032,2554.848947,2,5347046
89405741,2026-08-01T22:34:49.6261628,1275.731897,1275.231673,2551.463795,2,4391606
89405217,2026-08-01T22:30:48.2714700,1275.662421,1270.430031,2551.324843,2,4265064
89405220,2026-08-01T22:30:48.3038466,1275.662421,1274.896372,2551.324843,2,729402
89416273,2026-08-01T23:54:58.3258922,1274.819149,1272.139459,2549.638299,2,6245085
89407820,2026-08-01T22:50:57.0329325,1274.344282,1267.724749,2548.688563,2,5039931
89408352,2026-08-01T22:54:58.0565319,1274.344282,1268.304591,2548.688563,2,5477009
89407821,2026-08-01T22:50:57.0356648,1274.344282,1263.448689,2548.688563,2,5444770
89404157,2026-08-01T22:22:49.8712790,1273.860117,1270.162603,2547.720234,2,5048914
89408879,2026-08-01T22:58:57.2833882,1272.595342,1266.605046,2545.190685,2,6137641
89409408,2026-08-01T23:02:57.5938209,1272.595342,1262.308704,2545.190685,2,6123268
89403632,2026-08-01T22:18:48.5621135,1272.509298,1262.687167,2545.018595,2,2807559
89413627,2026-08-01T23:34:59.6264312,1272.470975,1262.673645,2544.941950,2,6307380
89416817,2026-08-01T23:58:57.3452150,1271.949893,1262.090355,2543.899786,2,6309575
89409931,2026-08-01T23:06:57.2570265,1271.110881,1252.316301,2542.221762,2,9019866
89412572,2026-08-01T23:26:57.5305081,1270.378251,1248.474428,2540.756502,2,3853479
89413086,2026-08-01T23:30:57.3611848,1270.378251,1253.710290,2540.756502,2,5041844
89402580,2026-08-01T22:10:48.7341978,1269.237904,1260.003287,2538.475808,2,6640478
89403106,2026-08-01T22:14:49.3411733,1269.237904,1260.456222,2538.475808,2,5818386
89403105,2026-08-01T22:14:49.3362734,1269.237904,1264.802873,2538.475808,2,725338
89412565,2026-08-01T23:26:57.5145250,1268.724232,1249.083431,2537.448464,2,6761786
89410454,2026-08-01T23:10:57.2781091,1268.281042,1242.851451,2536.562084,2,6401476
89382536,2026-08-01T19:38:43.3035413,1264.785532,1243.324075,2529.571063,2,4852607
89382076,2026-08-01T19:34:44.5617134,1264.566829,1241.209758,2529.133659,2,6017469
89382579,2026-08-01T19:38:43.5189706,1263.913822,1236.164974,2527.827644,2,7262284
89261138,2026-08-01T04:18:00.3047031,1262.672140,1249.074264,2525.344281,2,5749659
89381021,2026-08-01T19:26:41.7570164,1261.739189,1233.664101,2523.478378,2,5380547
89378920,2026-08-01T19:10:43.0333996,1261.568944,1218.094354,2523.137888,2,6341296
89381553,2026-08-01T19:30:41.7792426,1260.986486,1228.562642,2521.972971,2,2023186
89283475,2026-08-01T07:10:00.3051318,1260.866470,1214.638100,2521.732940,2,7073876
89263224,2026-08-01T04:34:02.3425721,1259.955982,1234.056151,2519.911964,2,7023876
89262180,2026-08-01T04:26:00.3392745,1259.955982,1235.826756,2519.911964,2,4633343
89262701,2026-08-01T04:30:00.2240130,1259.955982,1232.097742,2519.911964,2,6182193
89262713,2026-08-01T04:30:00.2373579,1259.955982,1228.480768,2519.911964,2,6238750
89261793,2026-08-01T04:22:00.7179110,1259.954625,1239.670293,2519.909250,2,6354308
89400994,2026-08-01T21:58:48.5095200,1259.567949,1256.568625,2519.135899,2,4692204
89282947,2026-08-01T07:06:00.2276577,1259.399961,1214.882623,2518.799922,2,7018251
89378397,2026-08-01T19:06:43.7521850,1259.002116,1206.705713,2518.004231,2,5795039
89395686,2026-08-01T21:18:51.3269426,1258.955807,1256.955951,2517.911615,2,5122179
89396217,2026-08-01T21:22:48.3143368,1258.925250,1257.183241,2517.850501,2,3708144
89395709,2026-08-01T21:18:51.3632676,1258.681100,1251.987583,2517.362200,2,6477392
89394663,2026-08-01T21:10:51.2511390,1258.208157,1253.790788,2516.416313,2,6609123
89283994,2026-08-01T07:14:01.7816522,1258.161857,1212.257245,2516.323713,2,6986198
89284014,2026-08-01T07:14:01.8222720,1258.161857,1215.444119,2516.323713,2,6668597
89380505,2026-08-01T19:22:44.0034197,1257.972036,1220.513452,2515.944072,2,4428692
89285066,2026-08-01T07:22:00.6230099,1257.950531,1206.878222,2515.901062,2,5804285
89398369,2026-08-01T21:38:50.1240746,1257.865110,1247.459237,2515.730220,2,6451061
89383638,2026-08-01T19:46:49.3654819,1257.804582,1233.162870,2515.609164,2,4207260
89392040,2026-08-01T20:50:49.0060272,1257.736386,1253.568511,2515.472772,2,5437247
89379431,2026-08-01T19:14:45.9206443,1257.558476,1216.243225,2515.116952,2,7239783
89389434,2026-08-01T20:30:51.5105019,1257.528408,1248.238059,2515.056816,2,7293842
89282352,2026-08-01T07:02:00.1331186,1257.473963,1214.257656,2514.947926,2,2698247
89263733,2026-08-01T04:38:00.5308237,1257.368640,1234.349968,2514.737279,2,9069756
89395156,2026-08-01T21:14:49.7342552,1256.915271,1251.626848,2513.830542,2,5715583
89391987,2026-08-01T20:50:48.8315054,1256.875757,1255.576346,2513.751514,2,4992146
89389974,2026-08-01T20:34:51.7579144,1256.624654,1254.355455,2513.249309,2,5744959
89384162,2026-08-01T19:50:49.5108964,1256.285636,1235.534102,2512.571272,2,5968587
89392043,2026-08-01T20:50:49.0198967,1256.156176,1249.711874,2512.312351,2,6828491
89245338,2026-08-01T02:13:31.2435957,1256.086722,1249.327023,2512.173445,2,5766503
89245863,2026-08-01T02:17:30.6407652,1256.086722,1245.055475,2512.173445,2,5980119
89245859,2026-08-01T02:17:30.6354402,1256.086722,1249.915989,2512.173445,2,7278738
89279259,2026-08-01T06:38:00.1762618,1256.045902,1217.826346,2512.091803,2,6383690
89393091,2026-08-01T20:58:50.1273925,1255.992424,1255.712049,2511.984847,2,7329929
89387320,2026-08-01T20:14:51.1090214,1255.544069,1240.216830,2511.088138,2,4862438
89240700,2026-08-01T01:37:30.5094750,1255.502930,1245.837699,2511.005859,2,6564574
89387840,2026-08-01T20:18:50.6774185,1255.458247,1245.055614,2510.916494,2,4109583
89387846,2026-08-01T20:18:50.7101620,1255.458247,1249.894774,2510.916494,2,6514749
89385131,2026-08-01T19:58:48.9318821,1255.357472,1223.658819,2510.714943,2,7158196
89393043,2026-08-01T20:58:49.9629624,1255.357099,1249.975448,2510.714197,2,7766228
89286151,2026-08-01T07:30:00.2580890,1255.351740,1205.971615,2510.703480,2,8187944
89396233,2026-08-01T21:22:48.3499084,1255.339400,1245.693802,2510.678800,2,6968026
89396767,2026-08-01T21:26:50.1327439,1255.339400,1250.507297,2510.678800,2,5499639
89392520,2026-08-01T20:54:51.0546941,1255.262763,1249.592637,2510.525526,2,5680949
89389853,2026-08-01T20:34:51.1678439,1255.203973,1251.523212,2510.407946,2,7125328
89390470,2026-08-01T20:38:48.9676316,1255.098182,1254.267944,2510.196365,2,6640563
89390473,2026-08-01T20:38:49.0089403,1255.098182,1249.803710,2510.196365,2,5803033
89259599,2026-08-01T04:06:00.3079708,1254.980746,1244.251464,2509.961492,2,5888589
89391521,2026-08-01T20:46:48.9258384,1254.850902,1254.137183,2509.701803,2,6033257
89412033,2026-08-01T23:22:58.0102710,1254.680168,1215.651049,2509.360335,2,7644067
89244809,2026-08-01T02:09:30.8420189,1254.672336,1244.445761,2509.344673,2,7282592
89278698,2026-08-01T06:34:00.8482167,1254.581030,1218.309147,2509.162061,2,7168041
89397819,2026-08-01T21:34:49.4157857,1254.580059,1245.181955,2509.160117,2,9574980
89397825,2026-08-01T21:34:49.4253584,1254.580059,1249.507968,2509.160117,2,6376841
89287222,2026-08-01T07:38:04.6240215,1254.559457,1208.036517,2509.118914,2,6716187
89385242,2026-08-01T19:58:49.3076209,1254.489892,1225.559126,2508.979785,2,2439457
89395190,2026-08-01T21:14:49.8703419,1254.436893,1251.889508,2508.873785,2,5990480
89397292,2026-08-01T21:30:48.6441506,1254.373761,1244.273462,2508.747521,2,7274140
89258449,2026-08-01T03:58:00.3447061,1254.150669,1235.688834,2508.301338,2,6469238
89269385,2026-08-01T05:22:00.5216805,1253.962077,1234.137888,2507.924155,2,5336320
89390993,2026-08-01T20:42:49.0326089,1253.687814,1251.705590,2507.375628,2,4172512
89350265,2026-08-01T15:34:40.2462938,1253.680744,1220.051805,2507.361489,2,6310891
89396771,2026-08-01T21:26:50.1434917,1253.661549,1252.218735,2507.323098,2,8320743
89267819,2026-08-01T05:10:00.2737079,1253.516700,1230.827232,2507.033399,2,6835196
89399351,2026-08-01T21:46:48.0264401,1253.475876,1243.637558,2506.951752,2,6011438
89386763,2026-08-01T20:10:50.9690115,1253.178392,1230.298199,2506.356784,2,5327047
89386251,2026-08-01T20:06:48.4260677,1253.096410,1224.670422,2506.192820,2,7524142
89259133,2026-08-01T04:02:00.4034489,1253.030706,1235.329304,2506.061411,2,7372103
89256881,2026-08-01T03:46:00.2468658,1252.885960,1234.409163,2505.771920,2,6487822
89394149,2026-08-01T21:06:49.0257746,1252.720565,1251.607737,2505.441130,2,5052933
89394668,2026-08-01T21:10:51.2634360,1252.720565,1247.152769,2505.441130,2,4874753
89246395,2026-08-01T02:21:30.6401806,1252.604641,1238.772943,2505.209283,2,7031766
89390932,2026-08-01T20:42:48.7853434,1251.912084,1245.059137,2503.824169,2,6551787
89395712,2026-08-01T21:18:51.3632624,1251.758178,1247.139660,2503.516356,2,4690995
89256534,2026-08-01T03:42:00.2554212,1251.539877,1235.744240,2503.079754,2,6380819
89251474,2026-08-01T03:01:30.5081094,1251.259848,1248.505113,2502.519696,2,6919191
89251983,2026-08-01T03:05:30.3474039,1251.259848,1249.432077,2502.519696,2,6492287
89281343,2026-08-01T06:54:01.2532067,1251.025760,1207.179063,2502.051520,2,7023037
89280810,2026-08-01T06:50:00.0548504,1251.025502,1210.425080,2502.051003,2,6589360
89265682,2026-08-01T04:54:01.5621735,1250.899474,1229.735122,2501.798948,2,4818967
89255533,2026-08-01T03:34:01.0259264,1250.809881,1241.899233,2501.619762,2,6825341
89280353,2026-08-01T06:46:00.1769465,1249.489564,1210.694998,2498.979128,2,6657972
89390403,2026-08-01T20:38:48.8115291,1249.353221,1244.416819,2498.706442,2,6165789
89250947,2026-08-01T02:57:30.8762058,1249.324789,1249.185744,2498.649579,2,7451135
89414160,2026-08-01T23:38:56.8433934,1249.286721,1212.839444,2498.573442,2,4858566
89254998,2026-08-01T03:30:00.4090394,1249.198371,1243.018544,2498.396743,2,6196641
