agent,n,wins,win_rate,ci_lo,ci_hi
"kenkoooo @ estie, inc.",19,13,0.6842105263157895,0.4601001017506463,0.846358289955714
zzholo,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831
Lunariz,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831
cm391,20,13,0.65,0.43285051021946463,0.8188104521320554
Jose Coronel,20,13,0.65,0.43285051021946463,0.8188104521320554
Majkel1337,623,391,0.6276083467094703,0.5889720882881524,0.664680509114445
tonakaiiii,72,45,0.625,0.5095268590406966,0.7278099060064543
Yushin Ito,137,85,0.6204379562043796,0.5369397166630846,0.6973660566311694
Team KASA.,13,8,0.6153846153846154,0.35522480972268555,0.8229055341876319
hotpotbro,5,3,0.6,0.23071993220883708,0.8823817688407467
lmaffei,85,51,0.6,0.49371248037407567,0.697639318783076
keidroid,254,150,0.5905511811023622,0.5291652104261749,0.6492388950401268
Luca,244,144,0.5901639344262295,0.5275209714649197,0.6500117752571802
Pushu?,12,7,0.5833333333333334,0.3195073356553728,0.8067425380947535
James Cox & Henry Chao,170,98,0.5764705882352941,0.5013082766233525,0.6482531632161335
Kazama Yusuke,80,46,0.575,0.46569091970838705,0.6774361198519266
西松大祐,7,4,0.5714285714285714,0.2504542304090258,0.8417830777373732
lolzpo+emonga,85,48,0.5647058823529412,0.4587719281568645,0.6650439418859984
Tatsuya Kayama,85,48,0.5647058823529412,0.4587719281568645,0.6650439418859984
やる気元気ミワハルキ,293,165,0.5631399317406144,0.505891695256445,0.6187539069772043
ShumpeiNomura,16,9,0.5625,0.33178195606776517,0.7690163666481448
Rmy,213,118,0.5539906103286385,0.48686528976259585,0.6192029185516761
Iliamna,133,73,0.5488721804511278,0.4641145463782404,0.6308858043922856
M Sato,119,65,0.5462184873949579,0.45671923523240976,0.6328269771256186
Jack,22,12,0.5454545454545454,0.34659473289041554,0.7307998556799515
Zhenyu Zhang,22,12,0.5454545454545454,0.34659473289041554,0.7307998556799515
Brahim,161,87,0.5403726708074534,0.4633456667432093,0.6155179210889884
insuperabilehart,50,27,0.54,0.40398634328388083,0.6703056539821737
lolzpo+ emonga,155,83,0.535483870967742,0.4570592028833912,0.6121921771077447
Xiangyu Liu,43,23,0.5348837209302325,0.38915389728872773,0.6748917373608144
kami,17,9,0.5294117647058824,0.30962897311549487,0.738351988039119
Kosmostars,17,9,0.5294117647058824,0.30962897311549487,0.738351988039119
flg,351,184,0.5242165242165242,0.4719901360430712,0.5759185646278762
ANDPAD kaggler team,174,91,0.5229885057471264,0.44908114798770926,0.5959027028098545
カントー地方マスター(KantoRegionMaster),134,70,0.5223880597014925,0.4383744362134254,0.6051537874868218
Dries @ Tufa Labs,152,79,0.5197368421052632,0.44080733037432107,0.597693301036034
zhangshuosc,110,57,0.5181818181818182,0.4257777238231319,0.6093588167736271
wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,97,50,0.5154639175257731,0.41732951901522114,0.6124201081227854
LumenLiquidity,128,65,0.5078125,0.4222456986856391,0.5929240201284529
@kdcyberdude,170,86,0.5058823529411764,0.4314299455628564,0.5800747805786425
haggle,101,51,0.504950495049505,0.40906319132283897,0.6004750072548249
LiamK,175,88,0.5028571428571429,0.42951587077784137,0.5760756694454624
Sixth Sense,293,147,0.5017064846416383,0.44480418924771553,0.5585646108126533
Team Rot-Weiß,12,6,0.5,0.2537781703934222,0.7462218296065778
typeIIIfairy,16,8,0.5,0.2799923761135083,0.7200076238864916
perrodawn,14,7,0.5,0.2679886791947528,0.7320113208052472
TTT Is All You Need,10,5,0.5,0.23658959361548731,0.7634104063845126
tokk,22,11,0.5,0.3072180469247956,0.6927819530752044
MissingNo.,141,70,0.49645390070921985,0.41512088716989126,0.5779750189786187
ktr,81,40,0.49382716049382713,0.38771930018551176,0.6004940291246379
sadwat,179,88,0.49162011173184356,0.4193310856640395,0.5642612696861654
Oshbocker,165,81,0.4909090909090909,0.4157081485580041,0.5665237184700268
Hancang Mi,31,15,0.4838709677419355,0.3196998603127883,0.6515988171302683
hyonu0620,31,15,0.4838709677419355,0.3196998603127883,0.6515988171302683
想要成为kaggle大师,62,30,0.4838709677419355,0.36409654206505293,0.605527525393818
Thai,58,28,0.4827586206896552,0.35927974452990297,0.6083795657078658
NguyenThanhNhan,158,76,0.4810126582278481,0.404483859817398,0.5584428537099028
Dominic Peel,152,73,0.48026315789473684,0.402306698963966,0.5591926696256789
pikachu,46,22,0.4782608695652174,0.34124459875672114,0.6186282785184867
JZ,228,108,0.47368421052631576,0.4098458605623389,0.538394662277393
junlee789,119,56,0.47058823529411764,0.38323576373558965,0.5597802829456648
SQUIRTLE (prime),118,55,0.4661016949152542,0.37858563103599213,0.555755349384488
RtoABC,69,32,0.463768115942029,0.35113991297637237,0.5802179923963817
clora,13,6,0.46153846153846156,0.2320575430148814,0.7085656756816796
李秉叡（ntumlnoob）,78,36,0.46153846153846156,0.35532213417762043,0.5713655161126965
poppy457,11,5,0.45454545454545453,0.21270957543988045,0.7199122443100118
Raihan Ramadistra,99,45,0.45454545454545453,0.3599919588990025,0.5524948168804487
ヌメルゴンex,11,5,0.45454545454545453,0.21270957543988045,0.7199122443100118
bono,149,67,0.44966442953020136,0.3720528020605491,0.5298063776392186
e-toppo + kurupical,107,48,0.4485981308411215,0.35777177009016287,0.5429875116235618
Pokemon Fan,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703
{{ team_name }} 🏆,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703
szlachetny snieg,160,70,0.4375,0.36298967596179843,0.5149412036194556
Gijs Smit,39,17,0.4358974358974359,0.2930452416170466,0.5902457652547789
Octavi Grau,182,79,0.4340659340659341,0.364155921357239,0.5067018413826426
低消650元任你吃啊,53,23,0.4339622641509434,0.30950190698960345,0.5673488502023123
Kh0a,14,6,0.42857142857142855,0.21380509930400526,0.6740973309713064
yumizu,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742
隔壁老王,14,6,0.42857142857142855,0.21380509930400526,0.6740973309713064
NIWATORI,12,5,0.4166666666666667,0.19325746190524656,0.6804926643446272
seven,12,5,0.4166666666666667,0.19325746190524656,0.6804926643446272
Roy Pidril,12,5,0.4166666666666667,0.19325746190524656,0.6804926643446272
MtN,65,27,0.4153846153846154,0.3036005547380231,0.5366123397908664
ei1333,17,7,0.4117647058823529,0.21610786039131383,0.6399492561448447
대답해드리는게인지상정,101,41,0.40594059405940597,0.31532231224182006,0.5034519147825671
Benarg,15,6,0.4,0.19824228082594664,0.642535572434923
Articuno0144,5,2,0.4,0.1176182311592533,0.769280067791163
☕ Psyduck Needs Coffee,5,2,0.4,0.1176182311592533,0.769280067791163
Pokémon Day Care,20,8,0.4,0.21880396741419272,0.613422057684794
Pokemon Siuuuu,76,30,0.39473684210526316,0.2924641219449393,0.5071390924195023
Pokopia,36,14,0.3888888888888889,0.24784655417822943,0.5513582970325652
miya,47,18,0.3829787234042553,0.2579048266351308,0.5257369155602367
Azat Akhtyamov,62,23,0.3709677419354839,0.26156988879274196,0.49542265087822607
gecogeco,22,8,0.36363636363636365,0.19732972772607899,0.5704865065628195
PP kawada,11,4,0.36363636363636365,0.15166223614131383,0.6462032231083628
THIRD PTCG Club,50,18,0.36,0.24138562967182875,0.49859237989698046
matsurih,31,11,0.3548387096774194,0.21116447741565816,0.530523619571851
me and the lads,20,7,0.35,0.18118954786794464,0.5671494897805354
vvs,66,23,0.3484848484848485,0.24475707338560404,0.4688806439633685
Lior Toledano,26,9,0.34615384615384615,0.19412014972852126,0.5377977099036699
masspeaks,44,15,0.3409090909090909,0.21875632628639946,0.4886113202806049
Where is my orbit,33,11,0.3333333333333333,0.19750029467803698,0.5039241820005003
wkonishi,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
kentaro_kato,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
llkarill,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
NoOneAhead,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
NorthStar,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102
kashiwashira,59,19,0.3220338983050847,0.21687410829652445,0.44895235060967775
__Taichicchi__,19,6,0.3157894736842105,0.15364171004428598,0.5398998982493537
서주영,16,5,0.3125,0.14164435051961052,0.5559606813326594
Charmander & Meowth,13,4,0.3076923076923077,0.12680497161618087,0.5763111218666236
YuPengCao,23,7,0.30434782608695654,0.15603828020972454,0.5086612906057261
lollipop947,20,6,0.3,0.14547527396899385,0.5189767762289793
monnosuke,10,3,0.3,0.10778928748621183,0.6032267800204347
zhan renyi,30,9,0.3,0.16664562643958933,0.4787612101166018
KanaeKanae,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873
Hiroki Yamazaki,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873
A. R. SEKKAT,25,7,0.28,0.1428367383738157,0.47576971896558296
Dragon Ball Z,11,3,0.2727272727272727,0.09745880573921467,0.5656502930102463
nsytsqdtn,8,2,0.25,0.07147768885802763,0.5907301208974108
hatry,8,2,0.25,0.07147768885802763,0.5907301208974108
qb,16,4,0.25,0.10181901984237346,0.49498768929398645
那个男人,18,4,0.2222222222222222,0.09000781913382,0.4521502645230549
Tony Li,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946
Rostislav,19,4,0.21052631578947367,0.08507538491591576,0.43334714240266087
palsystem,15,3,0.2,0.07047420643610414,0.4518593533465045
Chua Zheng Wei Brian,10,2,0.2,0.056680947980693314,0.5098431532792765
hinox13,11,2,0.18181818181818182,0.05136660067100063,0.4769861375782448
Roman Nesterov,5,0,0.0,0.0,0.43449149475208104
