agent,elo,games
Majkel1337,1642.31016094404,51
keidroid,1637.605272035789,34
James Cox & Henry Chao,1628.113269277459,25
LumenLiquidity,1622.5739123110177,31
Brahim,1610.397201704177,26
Dries @ Tufa Labs,1575.4414040069419,25
Rmy,1568.1978538744838,26
typeIIIfairy,1534.5907531186335,3
MtN,1533.6255116810294,9
masspeaks,1529.992339255902,5
lolzpo+emonga,1529.0901109998383,18
e-toppo + kurupical,1528.2377633597432,29
대답해드리는게인지상정,1524.744434768517,13
Yushin Ito,1524.314184139647,15
kuromoka,1522.3000266236384,2
wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1521.5559312388293,26
JZ,1518.372439759676,57
flg,1517.6018489767573,35
カントー地方マスター(KantoRegionMaster),1517.51793717871,23
haggle,1516.6685734436926,15
@kdcyberdude,1515.5859871470007,25
Lunariz,1513.1215984218634,1
tetsu2131,1513.0504872234671,1
beeyan,1512.843202672501,1
Yudai Ueno,1512.7578070307725,1
ShumpeiNomura,1512.6255249325452,3
Hancang Mi,1511.9492952860137,1
cm391,1511.2161271288915,3
lmaffei,1510.8838130864794,1
Sixth Sense,1508.138473681019,48
M Sato,1506.3420429943362,16
Azat Akhtyamov,1502.798362218792,8
NIWATORI,1502.7676474145046,2
vibechu,1502.008569741735,2
Pushu?,1501.482490780603,2
Tony Li,1501.3512017143053,2
{{ team_name }} 🏆,1501.0909493893485,4
Where is my orbit,1500.8526117031497,2
Iliamna,1500.4515746970533,23
Articuno0144,1500.342574349639,2
ヌメルゴンex,1499.3216176613898,2
Zhenyu Zhang,1499.2883692271287,4
miya,1498.9364876830232,4
junlee789,1498.772327276234,2
Dominic Peel,1498.7425921729628,16
Pokémon Day Care,1498.6779321624995,2
ktr,1497.7079322049976,6
Oshbocker,1497.1111374167003,14
LiamK,1496.6228918635347,47
Luca,1492.0526545256457,20
Kh0a,1490.8588132839732,1
insuperabilehart,1490.6497669215394,14
KanaeKanae,1489.8097399968178,1
yumizu,1489.6712133422525,1
SQUIRTLE (prime),1489.609986885902,17
THIRD PTCG Club,1489.3806832723083,1
あなまか,1489.1035907946357,1
Hiroki Yamazaki,1488.8128813894546,1
zhangshuosc,1488.7778693005105,3
poppy457,1488.4994845673464,3
Mega Regigigas Ex Vmax,1488.4672223643252,1
齐乐,1488.414300586377,1
I4Kaggle,1488.349539963959,1
neibyr,1488.265034186788,1
cununn,1488.204048233202,1
RtoABC,1488.19215303979,1
やる気元気ミワハルキ,1488.1854426940763,42
Benarg,1488.037252143455,1
tedo,1487.8745524439992,1
JB Bryant,1487.4181182853245,1
gecogeco,1487.169556192878,1
☕ Psyduck Needs Coffee,1486.897104160381,1
nsytsqdtn,1486.7562835372023,1
Jose Coronel,1486.4032352353513,1
bono,1484.2321964607981,21
Pokemon Fan,1482.705356811217,6
西松大祐,1481.6857720623627,4
PP kawada,1479.841426588935,2
hinox13,1478.5275242236735,4
qb,1478.0697714926066,4
Roman Nesterov,1477.9561565069214,2
Pokopia,1477.9081842562077,15
lollipop947,1476.6464550743462,2
Chua Zheng Wei Brian,1476.2988124736044,2
想要成为kaggle大师,1476.0300443569558,2
Lior Toledano,1475.823505954537,2
YuPengCao,1475.607442388975,2
Octavi Grau,1473.4316437469824,36
서주영,1469.1705389238743,5
那个男人,1467.519088798972,5
kashiwashira,1464.827309312354,3
szlachetny snieg,1461.4041419221214,12
ANDPAD kaggler team,1459.702955886622,14
NguyenThanhNhan,1456.8025894839911,8
sadwat,1456.705578034844,23
Raihan Ramadistra,1449.1135576899544,20
李秉叡（ntumlnoob）,1447.4989438542448,13
Gijs Smit,1440.8534832078183,19
Pokemon Siuuuu,1437.4258172585285,15
palsystem,1433.9643912605852,6
vvs,1414.2942266394589,20
