bin,bin_lo,bin_hi,n,predicted,observed,obs_lo,obs_hi
0,0.0,0.1,6083,0.04677422069389934,0.042742068058523756,0.03794084846190838,0.04812046780431415
1,0.1,0.2,4654,0.15124378468427854,0.17404383326171036,0.1634207633409455,0.18520457419736838
2,0.2,0.30000000000000004,5130,0.24954665034865817,0.30955165692007797,0.2970469619484531,0.3223413729000549
3,0.30000000000000004,0.4,6072,0.3523621650939,0.3664361001317523,0.35440459179340694,0.37863650657887454
4,0.4,0.5,8305,0.4520289900945535,0.46658639373871164,0.4558746923465114,0.47732899274961554
5,0.5,0.6000000000000001,9999,0.5488476355193579,0.5525552555255525,0.5427907217408962,0.5622794215271928
6,0.6000000000000001,0.7000000000000001,7676,0.6478242863815176,0.6412193850964044,0.6304210311264352,0.6518764579259432
7,0.7000000000000001,0.8,5982,0.7485043393555352,0.7173186225342695,0.7057705984130943,0.7285877046866737
8,0.8,0.9,5182,0.8501186134403202,0.8367425704361251,0.8264304666683658,0.8465557656916817
9,0.9,1.0,7373,0.9534441185834491,0.9545639495456395,0.9495688201642893,0.9590856370494862
