bin,bin_lo,bin_hi,n,predicted,observed,obs_lo,obs_hi
0,0.0,0.1,11213,0.04503372944112195,0.03344332471238741,0.030272000182876613,0.03693422656815462
1,0.1,0.2,9086,0.15108637444595452,0.12359674224081003,0.11698792792240091,0.13052371188439174
2,0.2,0.30000000000000004,10241,0.2517842257099699,0.22741919734400937,0.21940388888133613,0.23563892993589183
3,0.30000000000000004,0.4,13170,0.3543804248439424,0.354290053151101,0.3461647649447676,0.3625003217828578
4,0.4,0.5,22116,0.45413282477458555,0.4501266051727256,0.44357888645411214,0.4566916471287322
5,0.5,0.6000000000000001,24933,0.5487773457140013,0.5414510889183011,0.5352601543351068,0.5476292521565318
6,0.6000000000000001,0.7000000000000001,18936,0.6472116335049921,0.6448035487959443,0.6379583291972937,0.6515900268987784
7,0.7000000000000001,0.8,12756,0.7466607088470214,0.7613671997491377,0.7538921139596787,0.7686849061186897
8,0.8,0.9,10696,0.8515239730415587,0.8707928197456993,0.8643025291423797,0.8770168563707667
9,0.9,1.0,15524,0.9586933450555769,0.9620587477454264,0.9589371728830468,0.9649516952259632
