bin,bin_lo,bin_hi,n,predicted,observed,obs_lo,obs_hi
0,0.0,0.1,4700,0.046072918145677114,0.028085106382978724,0.023733291905949912,0.03320774114244185
1,0.1,0.2,3668,0.15240968027898374,0.12595419847328243,0.11560623532923536,0.137084839362004
2,0.2,0.30000000000000004,5498,0.2509353519084678,0.24899963623135685,0.23774683382167694,0.2606029550926386
3,0.30000000000000004,0.4,6046,0.35297246615228073,0.341878928217003,0.33002601627926714,0.35393265133279067
4,0.4,0.5,10010,0.45357412383057905,0.4604395604395604,0.45069220199905874,0.470217271943489
5,0.5,0.6000000000000001,12298,0.5491312470269871,0.5558627419092536,0.5470648982243309,0.564625696133509
6,0.6000000000000001,0.7000000000000001,7784,0.6457480310788455,0.6634121274409044,0.6528360644637017,0.6738269739833052
7,0.7000000000000001,0.8,5912,0.7475145224967774,0.7579499323410014,0.7468662180944031,0.7686986340814902
8,0.8,0.9,5060,0.8484771683920813,0.8778656126482214,0.8685555911930202,0.8866023110604785
9,0.9,1.0,5480,0.9548810721308894,0.9686131386861314,0.9636582948111412,0.972911426677532
