bin,bin_lo,bin_hi,n,predicted,observed,obs_lo,obs_hi
0,0.0,0.1,2556,0.03655803212573076,0.09272300469483569,0.08208156225654073,0.1045868628522629
1,0.1,0.2,1268,0.1515710757798352,0.23738170347003154,0.21477760046966432,0.2615722846103645
2,0.2,0.30000000000000004,1351,0.2509571130597492,0.33974833456698744,0.31497862022695533,0.3654268234795267
3,0.30000000000000004,0.4,1534,0.35189736277087175,0.39113428943937417,0.36701404139175625,0.41579844072603794
4,0.4,0.5,1652,0.451286796885737,0.48849878934624696,0.46444849191497045,0.512602453054645
5,0.5,0.6000000000000001,1862,0.5494743653817954,0.5408163265306123,0.5181202464826086,0.5633443322897803
6,0.6000000000000001,0.7000000000000001,1706,0.6483140117067128,0.6131301289566237,0.5897891797157917,0.6359627261917495
7,0.7000000000000001,0.8,1547,0.7491220153146407,0.7032967032967034,0.6800521272414018,0.7255341041312929
8,0.8,0.9,1655,0.8502327980978133,0.7734138972809668,0.7526253525518822,0.7929360801973326
9,0.9,1.0,3755,0.9651345085817137,0.9414114513981359,0.9334387645888613,0.9484818781964053
